2019-02-15 16:44:57.416373 error_len_reg_not_equal_len_alpha
2019-02-15 16:58:50.753390 error_len_reg_not_equal_len_alpha
2019-02-15 17:04:27.561596 error_len_reg_not_equal_len_alpha
2019-02-15 17:09:23.512087 error_len_reg_not_equal_len_alpha
2019-02-15 17:09:35.806496 error_len_reg_not_equal_len_alpha
2019-02-15 17:12:50.435773 error_len_reg_not_equal_len_alpha
2019-02-15 17:14:07.814429 error_len_reg_not_equal_len_alpha
2019-02-15 17:15:15.355911 error_len_reg_not_equal_len_alpha
2019-02-15 17:15:55.678691 error_len_reg_not_equal_len_alpha
2019-02-15 17:16:37.166919 error_len_reg_not_equal_len_alpha
2019-02-20 14:56:02.880699 error_len_reg_not_equal_len_alpha
2019-02-20 14:56:16.649865 error_len_reg_not_equal_len_alpha
2019-02-20 14:59:46.046512 error_len_reg_not_equal_len_alpha
2019-02-20 15:01:01.435519 error_len_reg_not_equal_len_alpha
2019-02-20 15:02:03.962500 error_len_reg_not_equal_len_alpha
2019-02-20 15:02:42.135048 error_len_reg_not_equal_len_alpha
2019-02-20 15:03:22.218524 error_len_reg_not_equal_len_alpha
2019-03-24 18:13:40.145802 len_reg_not_equal_len_alpha ../03/032520+2020.3
2019-03-24 18:13:50.649979 len_reg_not_equal_len_alpha ../03/030313-8538.3
2019-03-24 18:14:20.225586 len_reg_not_equal_len_alpha ../04/043648-7018.6
2019-03-24 18:33:43.817016 error_empty_file 014543-4526.0
2019-03-24 18:35:56.845629 error_empty_file 044315-4106.3
2019-03-24 18:37:10.022020 error_empty_file 054739+1437.6
2019-03-24 18:37:25.589364 error_empty_file 052228-4650.2
2019-03-24 18:38:25.801439 error_empty_file 065053-0004.4
2019-03-24 18:38:36.500759 len_reg_not_equal_len_alpha ../06/061107+1619.5
2019-03-24 18:38:39.789872 unknown_error_in ../06/062614+1904.5
2019-03-24 18:40:32.333415 error_empty_file 075053-1524.5
2019-03-24 18:40:57.582372 error_empty_file 073205-2638.4
2019-03-24 18:41:52.112172 unknown_error_in ../07/074201-4523.2
2019-03-24 18:41:58.375621 unknown_error_in ../07/072343-0150.1
2019-03-24 18:42:14.691616 error_empty_file 075907-4400.7
2019-03-24 18:42:50.825911 unknown_error_in ../07/072149+1815.3
2019-03-24 18:43:05.837988 unknown_error_in ../07/071921-1430.5
2019-03-24 18:43:25.754972 unknown_error_in ../07/070232-5214.6
2019-03-24 18:43:32.253175 unknown_error_in ../07/071218-1503.0
2019-03-24 18:44:08.760235 error_empty_file 083006+1339.7
2019-03-24 18:44:34.615552 unknown_error_in ../08/081539-1732.1
2019-03-24 18:45:01.031056 error_empty_file 082144-0145.9
2019-03-24 18:45:30.304728 unknown_error_in ../08/084028+2107.4
2019-03-24 18:46:10.906822 error_empty_file 085350-2505.1
2019-03-24 18:46:58.189296 error_empty_file 091029-5254.8
2019-03-24 18:47:22.169657 unknown_error_in ../09/092422-7943.6
2019-03-24 18:48:08.876228 unknown_error_in ../09/095718-6710.1
2019-03-24 18:48:11.218718 unknown_error_in ../09/094035-3632.3
2019-03-24 18:48:56.600260 error_empty_file 103254-5831.2
2019-03-24 18:49:43.862681 unknown_error_in ../10/101430+1046.1
2019-03-24 18:49:45.802640 unknown_error_in ../10/105151-4802.6
2019-03-24 18:49:46.853090 unknown_error_in ../10/100719-1426.5
2019-03-24 18:50:27.124727 error_empty_file 113215-6054.3
2019-03-24 18:50:33.809350 error_empty_file 111121-4748.8
2019-03-24 18:50:37.365067 unknown_error_in ../11/115214+1859.0
2019-03-24 18:51:40.776520 error_empty_file 122521-3843.2
2019-03-24 18:51:42.892360 error_empty_file 125341-6113.0
2019-03-24 18:52:57.062047 unknown_error_in ../13/134911-6709.1
2019-03-24 18:53:00.904447 error_empty_file 132216-7113.7
2019-03-24 18:53:13.043698 error_empty_file 141139-4807.7
2019-03-24 18:53:26.551937 len_reg_not_equal_len_alpha ../14/143927-0327.6
2019-03-24 18:54:24.307849 unknown_error_in ../14/143646-4714.0
2019-03-24 18:55:23.919133 unknown_error_in ../15/152318-5115.1
2019-03-24 18:55:31.173832 error_empty_file 150133-3057.1
2019-03-24 18:56:39.492783 unknown_error_in ../16/162318-5631.5
2019-03-24 18:56:56.074537 error_empty_file 164006-6255.9
2019-03-24 18:57:02.768294 error_empty_file 160507-5845.6
2019-03-24 18:57:13.259938 error_empty_file 165752-0932.5
2019-03-24 18:58:16.834297 error_empty_file 173715-4437.0
2019-03-24 18:58:29.056943 error_empty_file 175524-1335.6
2019-03-24 18:58:46.613603 error_empty_file 172425-3944.9
2019-03-24 18:59:06.073587 len_reg_not_equal_len_alpha ../17/174158-2536.5
2019-03-24 19:00:26.041220 error_empty_file 171215-2617.5
2019-03-24 19:01:12.346274 unknown_error_in ../18/182720-4425.1
2019-03-24 19:02:08.373267 error_empty_file 183540-6656.0
2019-03-24 19:02:11.280921 unknown_error_in ../18/183513-4241.0
2019-03-24 19:02:14.803005 error_empty_file 180305-2929.0
2019-03-24 19:02:20.503258 error_empty_file 181024-2049.6
2019-03-24 19:02:36.500778 unknown_error_in ../18/181547-3307.4
2019-03-24 19:02:51.172306 unknown_error_in ../18/183610-2355.0
2019-03-24 19:03:28.025959 error_empty_file 185332-2932.8
2019-03-24 19:04:07.036061 len_reg_not_equal_len_alpha ../19/195310-7641.1
2019-03-24 19:04:20.671803 len_reg_not_equal_len_alpha ../19/191706-4119.5
2019-03-24 19:05:08.785745 error_empty_file 190043-1404.3
2019-03-24 19:06:27.850472 error_empty_file 194101+2620.9
2019-03-24 19:06:47.410226 unknown_error_in ../19/192755+0250.6
2019-03-24 19:06:52.396220 error_empty_file 195404-1841.0
2019-03-24 19:07:36.539845 error_empty_file 200815+2235.5
2019-03-24 19:07:38.407993 unknown_error_in ../20/202805+0428.8
2019-03-24 19:07:44.046701 len_reg_not_equal_len_alpha ../20/201613-0848.4
2019-03-24 19:08:52.312718 len_reg_not_equal_len_alpha ../20/203252+2001.6
